object_code,object_id,room_id,floor_id,class,file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
0-3-0,0,3,0,plant,plant_003.ply,0,-5.574123,10.562920,1.105966,0.240608,0.239006,0.246966,-1.717040
0-3-1,1,3,0,table,table_003.ply,0,8.618129,4.937762,0.823235,1.691560,0.375556,0.052529,3.058112
0-3-2,2,3,0,table,table_003.ply,1,8.368677,8.336142,0.811959,2.455568,1.099901,0.246323,1.515299
0-3-3,3,3,0,shell,shell_003.ply,0,-7.927426,9.223487,1.337033,6.740894,6.290551,2.682721,1.504416
0-3-4,4,3,0,chair,chair_003.ply,0,8.110120,7.145738,0.576982,0.630816,0.510473,0.865181,-0.338701
0-3-5,5,3,0,chair,chair_003.ply,1,7.945592,7.933591,0.658745,0.577588,0.521744,1.021216,-0.084475
0-3-6,6,3,0,chair,chair_003.ply,2,0.472866,-11.744658,0.600716,0.700668,0.648264,0.860105,-0.408510
0-3-7,7,3,0,chair,chair_003.ply,3,8.742237,8.606955,0.678006,1.076355,0.711413,1.048524,-1.645183
0-3-8,8,3,0,chair,chair_003.ply,4,7.830241,-8.995721,0.680689,0.638259,0.490623,1.009358,-0.013488
0-3-9,9,3,0,door,door_003.ply,0,6.513164,9.609849,1.280271,2.718096,1.079948,2.382489,-1.463819
0-3-10,10,3,0,door,door_003.ply,1,6.544699,6.723062,1.365026,0.541198,0.094447,1.409916,-1.471516
0-3-11,11,3,0,door,door_003ly,2,6.634115,5.308743,1.218720,0.982046,0.805261,2.290857,2.584629
0-3-12,12,3,0,door,door_003.ply,3,11.606203,10.061704,1.280556,2.175941,1.385261,2.268352,-1.791837
0-3-13,13,3,0,door,door_003.ply,4,7.353096,-10.861103,1.274810,1.345824,1.077984,2.251654,-0.012772
0-3-14,14,3,0,window,window_003.ply,0,8.719067,5.246345,1.728198,1.963269,0.272278,1.304126,3.072427
0-3-15,15,3,0,window,window_003.ply,1,10.834339,5.987807,1.669380,1.469646,0.264057,0.467186,1.515372
