group_name,class,face_count,area,centroid_x,centroid_y,centroid_z,normal_x,normal_y,normal_z,lowest_x,lowest_y,lowest_z,highest_x,highest_y,highest_z,obj_path
wall_plane_0001,wall,39,6.38720453,2.83469668,4.29454994,3.89227309,0.977626413,-0.20997866,0.0124723493,3.02521396,5.20254755,4.24547386,2.55353427,2.91208839,2.6563015,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_005\out_planes\wall_plane_0001.obj
floor_plane_0002,floor,40,4.41123605,2.18896599,4.63708759,4.84635871,0.210542675,0.00513474726,-0.977571182,2.85610747,4.4593854,4.98910999,1.55272377,5.22367144,4.71240997,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_005\out_planes\floor_plane_0002.obj
floor_plane_0003,floor,38,4.33423699,2.04772891,4.46567086,2.73758588,0.0152111841,0.0571813213,-0.998247923,1.79902256,2.99354768,2.64947057,2.68899131,5.58714819,2.81159735,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_005\out_planes\floor_plane_0003.obj
ceiling_plane_0004,ceiling,15,4.16690481,2.20519104,5.95834584,3.83634572,0.294539944,0.934587269,-0.199481471,2.08479977,5.77792931,2.81331921,3.09836411,5.45788336,2.810431,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_005\out_planes\ceiling_plane_0004.obj
ceiling_plane_0005,ceiling,52,3.82369333,1.12584717,4.56015383,3.3651803,0.937542857,-0.0355701991,0.346046459,1.17309213,4.64455795,3.24585533,1.25410318,3.96755409,2.95678329,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_005\out_planes\ceiling_plane_0005.obj
ceiling_plane_0006,ceiling,15,3.21944928,1.22278385,4.72213753,4.32251864,0.783473244,-0.0330037479,-0.62054849,1.58634174,5.8260932,4.72281504,1.52551377,4.73607683,4.70398855,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_005\out_planes\ceiling_plane_0006.obj
wall_plane_0007,wall,6,3.0339631,1.83097789,2.97761263,3.71145119,0.107227042,0.994165823,0.0116909432,1.77616262,2.98935199,3.2159133,1.33403695,3.04374886,2.64526057,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_005\out_planes\wall_plane_0007.obj
ceiling_plane_0008,ceiling,3,0.276637822,1.09858114,5.05209957,2.94082843,0.647547264,0.618084721,-0.445705977,1.36053824,4.63034678,2.73654747,1.28785408,4.86596346,2.95768976,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_005\out_planes\ceiling_plane_0008.obj
wall_plane_0009,wall,1,0.16669853,1.10209539,5.2624917,2.95293363,0.0173517179,0.999638379,0.0205433532,0.766982615,5.2721858,2.76426864,1.16822255,5.25376606,3.32166934,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_005\out_planes\wall_plane_0009.obj
floor_plane_0010,floor,1,5.46300068e-08,1.94680174,5.21001705,4.79721228,0.210367447,0.00604956244,-0.977603672,1.94668722,5.21019793,4.79718876,1.94705856,5.20992231,4.79726696,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_005\out_planes\floor_plane_0010.obj
